PassengerId,Pclass,Sex,Embarked,genTitle,is_alone,small_fam,large_fam,age_group,fare_group,Survived
1,3,0,0,2,0,1,0,2,0,0
2,1,1,1,3,0,1,0,3,3,1
3,3,1,0,1,1,0,0,2,1,1
4,1,1,0,3,0,1,0,3,3,1
5,3,0,0,2,1,0,0,3,1,0
6,3,0,2,2,1,0,0,3,1,0
7,1,0,0,2,1,0,0,4,3,0
8,3,0,0,0,0,0,1,1,2,0
9,3,1,0,3,0,1,0,2,1,1
10,2,1,1,3,0,1,0,1,2,1
11,3,1,0,1,0,1,0,1,2,1
12,1,1,0,1,1,0,0,4,2,1
13,3,0,0,2,1,0,0,2,1,0
14,3,0,0,2,0,0,1,3,2,0
15,3,1,0,1,1,0,0,1,0,0
16,2,1,0,3,1,0,0,4,2,1
17,3,0,2,0,0,0,1,1,2,0
18,2,0,0,2,1,0,0,3,1,1
19,3,1,0,3,0,1,0,2,2,0
20,3,1,1,3,1,0,0,3,0,1
21,2,0,0,2,1,0,0,3,2,0
22,2,0,0,2,1,0,0,3,1,1
23,3,1,2,1,1,0,0,1,1,1
24,1,0,0,2,1,0,0,2,3,1
25,3,1,0,1,0,0,1,1,2,0
26,3,1,0,3,0,0,1,3,3,1
27,3,0,1,2,1,0,0,3,0,0
28,1,0,0,2,0,0,1,2,3,0
29,3,1,2,1,1,0,0,2,0,1
30,3,0,0,2,1,0,0,3,0,0
31,1,0,1,4,1,0,0,3,2,0
32,1,1,1,3,0,1,0,3,3,1
33,3,1,2,1,1,0,0,2,0,1
34,2,0,0,2,1,0,0,5,1,0
35,1,0,1,2,0,1,0,2,3,0
36,1,0,0,2,0,1,0,3,3,0
37,3,0,1,2,1,0,0,3,0,1
38,3,0,0,2,1,0,0,2,1,0
39,3,1,0,1,0,1,0,2,2,0
40,3,1,1,1,0,1,0,1,1,1
41,3,1,0,3,0,1,0,3,1,0
42,2,1,0,3,0,1,0,2,2,0
43,3,0,1,2,1,0,0,3,0,0
44,2,1,1,1,0,0,1,1,3,1
45,3,1,2,1,1,0,0,2,0,1
46,3,0,0,2,1,0,0,3,1,0
47,3,0,2,2,0,1,0,3,2,0
48,3,1,2,1,1,0,0,2,0,1
49,3,0,1,2,0,1,0,3,2,0
50,3,1,0,3,0,1,0,2,2,0
51,3,0,0,0,0,0,1,1,3,0
52,3,0,0,2,1,0,0,2,0,0
53,1,1,1,3,0,1,0,4,3,1
54,2,1,0,3,0,1,0,2,2,1
55,1,0,1,2,0,1,0,5,3,0
56,1,0,0,2,1,0,0,3,3,1
57,2,1,0,1,1,0,0,2,1,1
58,3,0,1,2,1,0,0,2,0,0
59,2,1,0,1,0,0,1,1,2,1
60,3,0,0,0,0,0,1,1,3,0
61,3,0,1,2,1,0,0,2,0,0
62,1,1,0,1,1,0,0,3,3,1
63,1,0,0,2,0,1,0,3,3,0
64,3,0,0,0,0,0,1,1,2,0
65,1,0,1,2,1,0,0,3,2,0
66,3,0,1,0,0,1,0,1,2,1
67,2,1,0,3,1,0,0,2,1,1
68,3,0,0,2,1,0,0,2,1,0
69,3,1,0,1,0,0,1,2,1,1
70,3,0,0,2,0,1,0,2,1,0
71,2,0,0,2,1,0,0,2,1,0
72,3,1,0,1,0,0,1,1,3,0
73,2,0,0,2,1,0,0,2,3,0
74,3,0,1,2,0,1,0,2,2,0
75,3,0,0,2,1,0,0,2,3,1
76,3,0,0,2,1,0,0,2,0,0
77,3,0,0,2,1,0,0,3,0,0
78,3,0,0,2,1,0,0,3,1,0
79,2,0,0,0,0,1,0,0,2,1
80,3,1,0,1,1,0,0,2,1,1
81,3,0,0,2,1,0,0,2,1,0
82,3,0,0,2,1,0,0,2,1,1
83,3,1,2,1,1,0,0,2,0,1
84,1,0,0,2,1,0,0,2,3,0
85,2,1,0,1,1,0,0,2,1,1
86,3,1,0,3,0,0,1,3,2,1
87,3,0,0,2,0,0,1,1,3,0
88,3,0,0,2,1,0,0,3,1,0
89,1,1,0,1,0,0,1,2,3,1
90,3,0,0,2,1,0,0,2,1,0
91,3,0,0,2,1,0,0,2,1,0
92,3,0,0,2,1,0,0,2,0,0
93,1,0,0,2,0,1,0,3,3,0
94,3,0,0,2,0,0,1,2,2,0
95,3,0,0,2,1,0,0,4,0,0
96,3,0,0,2,1,0,0,3,1,0
97,1,0,1,2,1,0,0,5,3,0
98,1,0,1,2,0,1,0,2,3,1
99,2,1,0,3,0,1,0,3,2,1
100,2,0,0,2,0,1,0,3,2,0
101,3,1,0,1,1,0,0,2,0,0
102,3,0,0,2,1,0,0,3,0,0
103,1,0,0,2,0,1,0,2,3,0
104,3,0,0,2,1,0,0,3,1,0
105,3,0,0,2,0,1,0,3,1,0
106,3,0,0,2,1,0,0,2,0,0
107,3,1,0,1,1,0,0,2,0,1
108,3,0,0,2,1,0,0,3,0,1
109,3,0,0,2,1,0,0,3,0,0
110,3,1,2,1,0,1,0,2,2,1
111,1,0,0,2,1,0,0,3,3,0
112,3,1,1,1,0,1,0,1,2,0
113,3,0,0,2,1,0,0,2,1,0
114,3,1,0,1,0,1,0,2,1,0
115,3,1,1,1,1,0,0,2,2,0
116,3,0,0,2,1,0,0,2,1,0
117,3,0,2,2,1,0,0,5,0,0
118,2,0,0,2,0,1,0,2,2,0
119,1,0,1,2,0,1,0,2,3,0
120,3,1,0,1,0,0,1,1,2,0
121,2,0,0,2,0,1,0,2,3,0
122,3,0,0,2,1,0,0,3,1,0
123,2,0,1,2,0,1,0,3,2,0
124,2,1,0,1,1,0,0,3,1,1
125,1,0,0,2,0,1,0,4,3,0
126,3,0,1,0,0,1,0,1,1,1
127,3,0,2,2,1,0,0,3,0,0
128,3,0,0,2,1,0,0,2,0,1
129,3,1,1,1,0,1,0,2,2,1
130,3,0,0,2,1,0,0,3,0,0
131,3,0,1,2,1,0,0,3,0,0
132,3,0,0,2,1,0,0,2,0,0
133,3,1,0,3,0,1,0,3,2,0
134,2,1,0,3,0,1,0,2,2,1
135,2,0,0,2,1,0,0,2,1,0
136,2,0,1,2,1,0,0,2,2,0
137,1,1,0,1,0,1,0,2,2,1
138,1,0,0,2,0,1,0,3,3,0
