PassengerId,Sex,Age,SibSp,Parch,Fare,Cabin,FamilySize,is_alone,Pclass_1,Pclass_2,Pclass_3,genTitle_Master,genTitle_Miss,genTitle_Mr,genTitle_Mrs,genTitle_Nobility,genTitle_Officer,genTitle_Professionals,normFare,Survived
1,0,22,1,0,7.25,U,2,0,0,0,1,0,0,1,0,0,0,0,2.1102132,0
2,1,38,1,0,71.2833,C,2,0,1,0,0,0,0,0,1,0,0,0,4.28059312,1
3,1,26,0,0,7.925,U,1,1,0,0,1,0,1,0,0,0,0,0,2.188856328,1
4,1,35,1,0,53.1,C,2,0,1,0,0,0,0,0,1,0,0,0,3.990834186,1
5,0,35,0,0,8.05,U,1,1,0,0,1,0,0,1,0,0,0,0,2.202764758,0
6,0,26,0,0,8.4583,U,1,1,0,0,1,0,0,1,0,0,0,0,2.246892663,0
7,0,54,0,0,51.8625,E,1,1,1,0,0,0,0,1,0,0,0,0,3.967694203,0
8,0,2,3,1,21.075,U,5,0,0,0,1,1,0,0,0,0,0,0,3.094445746,0
9,1,27,0,2,11.1333,U,3,0,0,0,1,0,0,0,1,0,0,0,2.495953739,1
10,1,14,1,0,30.0708,U,2,0,0,1,0,0,0,0,1,0,0,0,3.436268471,1
11,1,4,1,1,16.7,G,3,0,0,0,1,0,1,0,0,0,0,0,2.87356464,1
12,1,58,0,0,26.55,C,1,1,1,0,0,0,1,0,0,0,0,0,3.316002536,1
13,0,20,0,0,8.05,U,1,1,0,0,1,0,0,1,0,0,0,0,2.202764758,0
14,0,39,1,5,31.275,U,7,0,0,0,1,0,0,1,0,0,0,0,3.474292937,0
15,1,14,0,0,7.8542,U,1,1,0,0,1,0,1,0,0,0,0,0,2.180891923,0
16,1,55,0,0,16,U,1,1,0,1,0,0,0,0,1,0,0,0,2.833213344,1
17,0,2,4,1,29.125,U,6,0,0,0,1,1,0,0,0,0,0,0,3.405355392,0
18,0,30,0,0,13,U,1,1,0,1,0,0,0,1,0,0,0,0,2.63905733,1
19,1,31,1,0,18,U,2,0,0,0,1,0,0,0,1,0,0,0,2.944438979,0
20,1,31,0,0,7.225,U,1,1,0,0,1,0,0,0,1,0,0,0,2.107178297,1
21,0,35,0,0,26,U,1,1,0,1,0,0,0,1,0,0,0,0,3.295836866,0
22,0,34,0,0,13,D,1,1,0,1,0,0,0,1,0,0,0,0,2.63905733,1
23,1,15,0,0,8.0292,U,1,1,0,0,1,0,1,0,0,0,0,0,2.20046377,1
24,0,28,0,0,35.5,A,1,1,1,0,0,0,0,1,0,0,0,0,3.597312261,1
25,1,8,3,1,21.075,U,5,0,0,0,1,0,1,0,0,0,0,0,3.094445746,0
26,1,38,1,5,31.3875,U,7,0,0,0,1,0,0,0,1,0,0,0,3.477772546,1
27,0,26,0,0,7.225,U,1,1,0,0,1,0,0,1,0,0,0,0,2.107178297,0
